team,season,medal,count
Czech Republic,Winter,Silver,12
Soviet Union-2,Winter,Silver,12
East Germany-1,Winter,Silver,10
Italy-2,Winter,Silver,10
Poland,Winter,Silver,10
Russia-2,Winter,Silver,10
Switzerland-2,Winter,Silver,10
Canada-1,Winter,Silver,8
East Germany-2,Winter,Silver,8
Unified Team,Winter,Silver,8
West Germany-1,Winter,Silver,8
Croatia,Winter,Silver,6
Great Britain,Winter,Silver,6
Italy-1,Winter,Silver,6
Latvia-1,Winter,Silver,6
Russia-1,Winter,Silver,6
United States-2,Winter,Silver,6
Yugoslavia,Winter,Silver,6
Denmark,Winter,Silver,5
Belarus,Winter,Silver,4
Belgium,Winter,Silver,4
Germany-2,Winter,Silver,4
Great Britain-1,Winter,Silver,4
Slovenia,Winter,Silver,4
Soviet Union-1,Winter,Silver,4
Australia,Winter,Silver,3
Kazakhstan,Winter,Silver,3
Austria-2,Winter,Silver,2
Bulgaria,Winter,Silver,2
Canada-2,Winter,Silver,2
China-1,Winter,Silver,2
China-2,Winter,Silver,2
Estonia,Winter,Silver,2
France-1,Winter,Silver,2
Hungary,Winter,Silver,2
Hungary-1,Winter,Silver,2
Latvia,Winter,Silver,2
Liechtenstein,Winter,Silver,2
Luxembourg,Winter,Silver,2
Slovakia,Winter,Silver,2
Unified Team-2,Winter,Silver,2
New Zealand,Winter,Silver,1
North Korea,Winter,Silver,1
Ukraine,Winter,Silver,1
Finland,Winter,Bronze,215
Sweden,Winter,Bronze,177
Norway,Winter,Bronze,127
United States,Winter,Bronze,121
Austria,Winter,Bronze,97
Canada,Winter,Bronze,97
Switzerland,Winter,Bronze,97
Soviet Union,Winter,Bronze,81
Czechoslovakia,Winter,Bronze,75
France,Winter,Bronze,75
Russia,Winter,Bronze,71
Germany,Winter,Bronze,68
Italy,Winter,Bronze,59
Netherlands,Winter,Bronze,42
East Germany,Winter,Bronze,36
Czech Republic,Winter,Bronze,34
Great Britain,Winter,Bronze,31
West Germany,Winter,Bronze,31
China,Winter,Bronze,30
Switzerland-1,Winter,Bronze,30
Japan,Winter,Bronze,24
United States-1,Winter,Bronze,24
Germany-1,Winter,Bronze,18
United States-2,Winter,Bronze,16
Italy-1,Winter,Bronze,14
West Germany-1,Winter,Bronze,14
Slovenia,Winter,Bronze,12
Soviet Union-2,Winter,Bronze,12
Unified Team,Winter,Bronze,12
Germany-2,Winter,Bronze,11
Poland,Winter,Bronze,11
Canada-1,Winter,Bronze,10
East Germany-2,Winter,Bronze,10
South Korea,Winter,Bronze,10
East Germany-1,Winter,Bronze,8
Australia,Winter,Bronze,7
Hungary-1,Winter,Bronze,6
Russia-1,Winter,Bronze,6
Belarus,Winter,Bronze,5
Belgium-1,Winter,Bronze,5
Latvia,Winter,Bronze,5
Liechtenstein,Winter,Bronze,5
Austria-1,Winter,Bronze,4
France-1,Winter,Bronze,4
Italy-2,Winter,Bronze,4
Bulgaria,Winter,Bronze,3
Kazakhstan,Winter,Bronze,3
Ukraine,Winter,Bronze,3
Austria-2,Winter,Bronze,2
Belgium,Winter,Bronze,2
China-1,Winter,Bronze,2
China-3,Winter,Bronze,2
Hungary,Winter,Bronze,2
Latvia-1,Winter,Bronze,2
Romania-1,Winter,Bronze,2
Switzerland-2,Winter,Bronze,2
Ukraine-1,Winter,Bronze,2
Unified Team-2,Winter,Bronze,2
Croatia,Winter,Bronze,1
Estonia,Winter,Bronze,1
North Korea,Winter,Bronze,1
Slovakia,Winter,Bronze,1
Spain,Winter,Bronze,1
Yugoslavia,Winter,Bronze,1
